,ChName,Dynasty,DynastyBirth,DynastyDeath,EngName,Entry,EraBirth,EraDeath,EraYearBirth,EraYearDeath,Gender,IndexYear,JunWang,Notes,PersonId,SocialStatus,YearBirth,YearDeath,YearsLived,nid
20247,胡震,元,未詳,未詳,Hu Zhen,,未詳,未詳,,,0,,【未詳】,,104905,,,,,104905
20248,徐宗仁,元,未詳,未詳,Xu Zongren,,未詳,未詳,,,0,,【未詳】,,105617,,,,,105617
20249,麥歸,元,未詳,未詳,Maigui,,未詳,未詳,,,0,,【未詳】,,435607,,,,,435607
20250,釋炳同,元,未詳,未詳,Shi Bingtong,,未詳,未詳,,,0,1282,【未詳】,,113239,,1223,1302,80,113239
20251,劉由孫,元,未詳,未詳,Liu Yousun,,未詳,未詳,,,0,1336,【未詳】,Index year algorithmically generated: Rule 9;,111204,,,,,111204
20252,八里丹,元,未詳,未詳,Balidan,,未詳,未詳,,,0,,【未詳】,,114006,,,,,114006
20253,陳雷,元,未詳,未詳,Chen Lei,薦舉門,未詳,未詳,,,0,,【未詳】,,108025,,,,,108025
20254,孔淳,元,未詳,未詳,Kong Chun,,未詳,未詳,,,0,,【未詳】,,100415,,,,,100415
20255,吳廷獻,元,未詳,未詳,Wu Tingxian,,未詳,未詳,,,0,,【未詳】,,102428,,,,,102428
20256,阿失帖木兒,元,未詳,未詳,Ashitiemuer,,未詳,未詳,,,0,,【未詳】,,113813,,,,,113813
20257,史天祥,元,未詳,未詳,Shi Tianxiang,歸降門,未詳,未詳,,,0,1250,【未詳】,"Shi(5) Tianxiang [29454] WDY, 1, p. 235.",29454,富豪;[武官],1191,1258,68,29454
20258,瞿大榮,元,未詳,未詳,Ju Darong,,未詳,未詳,,,0,,【未詳】,,112701,,,,,112701
20259,高慶仁,元,未詳,未詳,Gao Qingren,,未詳,未詳,,,0,,【未詳】,,106312,,,,,106312
20260,李子中,元,未詳,未詳,Li Zizhong,,未詳,未詳,,,0,,【未詳】,,103110,,,,,103110
20261,張虎臣,元,未詳,未詳,Zhang Huchen,,未詳,未詳,,,0,1360,【未詳】,,134263,,,,,134263
20262,也速蒙哥,元,未詳,未詳,Yesumengge,,未詳,未詳,,,0,,【未詳】,,117503,,,,,117503
20263,密理沙,元,未詳,未詳,Milisha,,未詳,未詳,,,0,,【未詳】,,115494,,,,,115494
20264,濮允中,元,未詳,未詳,Pu Yunzhong,,未詳,未詳,,,0,1351,【未詳】,Index year algorithmically generated: Rule 8;,112351,,,,,112351
20265,張誠,元,未詳,未詳,Zhang Cheng,,未詳,未詳,,,0,,【未詳】,,106742,,,,,106742
